Date,CPI,PMI,Repo_Rate,M2,India_VIX
2019-04-30,8.333288,101.857900,6.250000,154301050000000.000000,21.830000
2019-05-31,8.650538,101.803700,6.250000,154399190000000.000000,16.070000
2019-06-30,8.591089,101.728200,6.000000,154781820000000.000000,14.950000
2019-07-31,5.980012,101.630000,6.000000,155677810000000.000000,13.590000
2019-08-31,6.312211,101.508700,5.720000,156414630000000.000000,16.280001
2019-09-30,6.976696,101.364200,5.650000,156500450000000.000000,15.870000
2019-10-31,7.615880,101.197400,5.400000,158864340000000.000000,16.280001
2019-11-30,8.609263,101.009300,5.400000,159902610000000.000000,13.900000
2019-12-31,9.634547,100.801000,5.400000,161646190000000.000000,11.670000
2020-01-31,7.491932,100.573700,5.400000,162664090000000.000000,17.370001
2020-02-29,6.840434,100.329300,5.400000,163700230000000.000000,23.240000
2020-03-31,5.501594,98.399970,5.210000,167999300000000.000000,64.410004
2020-04-30,5.448694,88.659660,4.650000,170340880000000.000000,33.990002
2020-05-31,5.095542,83.905430,4.490000,172308640000000.000000,30.219999
2020-06-30,5.063294,88.117530,4.250000,173194180000000.000000,29.120001
2020-07-31,5.329131,92.334650,4.250000,176256880000000.000000,24.190001
2020-08-31,5.625035,96.481380,4.250000,176256880000000.000000,22.840000
2020-09-30,5.636615,97.750910,4.250000,177397650000000.000000,19.530001
2020-10-31,5.902145,98.694880,4.250000,178037390000000.000000,24.750000
2020-11-30,5.284761,98.642880,2.250000,179379390000000.000000,19.820000
2020-12-31,3.686607,98.621120,4.250000,180553720000000.000000,21.100000
2021-01-31,3.162903,98.620120,4.250000,184016660000000.000000,25.340000
2021-02-28,4.494454,98.793170,4.250000,185637600000000.000000,28.139999
2021-03-31,5.665686,96.967630,4.250000,187731480000000.000000,20.650000
2021-04-30,5.139898,95.147060,4.250000,189166300000000.000000,23.030001
2021-05-31,5.257642,93.310560,4.250000,190109200000000.000000,17.400000
2021-06-30,5.577861,95.230740,4.250000,191675100000000.000000,13.050000
2021-07-31,5.263891,97.078740,4.250000,193716000000000.000000,12.800000
2021-08-31,4.811459,98.819980,4.250000,193292450000000.000000,14.520000
2021-09-30,4.403007,98.862370,4.250000,193973000000000.000000,18.400000
2021-10-31,4.518826,98.905200,4.250000,195241260000000.000000,17.430000
2021-11-30,4.837359,98.946960,4.250000,196465890000000.000000,21.170000
2021-12-31,5.555543,98.987240,4.250000,201140400000000.000000,16.219999
2022-01-31,5.837608,99.027520,4.250000,199473300000000.000000,21.950001
2022-02-28,5.042049,99.070450,4.250000,201835300000000.000000,28.570000
2022-03-31,5.351198,99.119170,4.250000,204896000000000.000000,20.559999
2022-04-30,6.328001,99.176570,4.250000,207120600000000.000000,19.420000
2022-05-31,6.965109,99.244960,4.650000,206804400000000.000000,20.480000
2022-06-30,6.162695,99.325780,5.030000,206623200000000.000000,21.840000
2022-07-31,5.781763,99.419200,5.150000,209109470000000.000000,16.549999
2022-08-31,5.853678,99.524770,5.650000,210367140000000.000000,18.700001
2022-09-30,6.488255,99.642040,5.750000,211284840000000.000000,19.969999
2022-10-31,6.084886,99.771020,6.150000,213451000000000.000000,15.800000
2022-11-30,5.409730,99.911830,6.150000,216165630000000.000000,13.810000
2022-12-31,5.502361,100.064200,6.430000,214828830000000.000000,14.870000
2023-01-31,6.155037,100.226900,6.500000,218950340000000.000000,16.879999
2023-02-28,6.160035,100.398300,6.690000,223330200000000.000000,14.020000
2023-03-31,5.793615,100.576300,6.750000,227798070000000.000000,12.940000
2023-04-30,5.090099,100.759400,6.750000,228100000000000.000000,10.950000
2023-05-31,4.418654,100.946000,6.750000,234284250000000.000000,11.970000
2023-06-30,5.572775,101.135000,6.750000,231429320000000.000000,10.800000
2023-07-31,7.544302,101.325700,6.750000,232594320000000.000000,10.410000
2023-08-31,6.912412,101.517600,6.750000,234771710000000.000000,12.060000
2023-09-30,4.722002,101.517600,6.750000,233574770000000.000000,11.450000
2023-10-31,4.452841,101.517600,6.750000,233574770000000.000000,11.830000
2023-11-30,4.981121,101.517600,6.750000,233574770000000.000000,12.690000
2023-12-31,4.913119,,6.750000,233574770000000.000000,14.500000
2024-01-31,4.593418,,6.750000,233574770000000.000000,16.049999
2024-02-29,4.898238,,6.750000,233574770000000.000000,15.570000
2024-03-31,4.201080,,6.750000,233574770000000.000000,12.830000
2024-04-30,3.874778,,,233574770000000.000000,12.870000
2024-05-31,3.860395,,,233574770000000.000000,24.600000
2024-06-30,3.665688,,,233574770000000.000000,13.800000
2024-07-31,2.147471,,,233574770000000.000000,13.250000
2024-08-31,2.442539,,,233574770000000.000000,13.390000
2024-09-30,4.218177,,,233574770000000.000000,12.790000
2024-10-31,4.407490,,,233574770000000.000000,15.550000
2024-11-30,3.882097,,,233574770000000.000000,14.430000
2024-12-31,3.530243,,,233574770000000.000000,13.970000
